day_type_name,hour,direction_id,trains,frequency_minutes,load_per_train,demand
weekday,18,0,6,10.0,207139.0,1242832.3333333335
weekday,18,1,7,8.6,210241.0,1471689.0
weekday,19,0,6,10.0,207139.0,1242832.3333333335
weekday,19,1,7,8.6,210241.0,1471689.0
weekday,20,0,6,10.0,207139.0,1242832.3333333335
weekday,20,1,7,8.6,210241.0,1471689.0
weekday,21,0,3,20.0,111845.0,335533.6666666667
weekday,21,1,3,20.0,138917.0,416752.0
weekday,22,0,3,20.0,111845.0,335533.6666666667
weekday,22,1,3,20.0,138917.0,416752.0
weekday,23,0,3,20.0,111845.0,335533.6666666667
weekday,23,1,3,20.0,138917.0,416752.0
