mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Haymarket,place-haecl,29472,28210,12,2456,2351,15417,4922
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Assembly,place-astao,252,18602,77,3,242,361,4924
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Haymarket,place-haecl,2258,1419,77,29,18,170,4925
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Back Bay,place-bbsta,25516,30170,77,331,392,2365,4927
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Jackson Square,place-jaksn,479,197,77,6,3,41,4929
1,Fall 2019,Orange,Orange Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Stony Brook,place-sbmnl,3201,280,8,400,35,2149,4948
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Community College,place-ccmnl,573,22700,77,7,295,856,4949
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Massachusetts Ave.,place-masta,1382,342,77,18,4,74,4950
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Jackson Square,place-jaksn,2398,14193,12,200,1183,4440,4951
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Green Street,place-grnst,65333,5309,77,848,69,3767,4952
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Massachusetts Ave.,place-masta,9068,27661,12,756,2305,9850,4953
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Chinatown,place-chncl,2409,5967,77,31,77,2175,4954
1,Fall 2019,Orange,Orange Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,State Street,place-state,16097,26256,8,2012,3282,12042,4955
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Haymarket,place-haecl,39583,87587,77,514,1137,5705,4956
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Malden Center,place-mlmnl,28,3366,77,0,44,5,4957
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Malden Center,place-mlmnl,57499,2383,12,4792,199,6861,4958
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Downtown Crossing,place-dwnxg,33418,64418,77,434,837,1773,4959
1,Fall 2019,Orange,Orange Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Sullivan Square,place-sull,3563,21113,8,445,2639,8855,4961
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Jackson Square,place-jaksn,97375,9681,77,1265,126,5792,4962
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,North Station,place-north,3608,783,77,47,10,207,4963
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,North Station,place-north,30519,18568,12,2543,1547,15312,4964
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Forest Hills,place-forhl,136873,0,77,1778,0,1778,4965
1,Fall 2019,Orange,Orange Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Tufts Medical Center,place-tumnl,9386,5069,8,1173,634,10895,5008
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Massachusetts Ave.,place-masta,62221,49016,77,808,637,7113,5009
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Oak Grove,place-ogmnl,0,352,77,0,5,0,5010
1,Fall 2019,Orange,Orange Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Wellington,place-welln,1100,19627,8,138,2453,4952,5011
